的	白 	de dí dì					
純	糸 	chún quán tún zhūn zhŭn zī					
纯	糸 	chún quán tún zhūn zhŭn					
尚	小 	shàng cháng					
藝	艸 	yì					
艺	艸 	yì					
惜	心 	xī					
置	网 	zhì					
益	皿 	yì					
姐	女 	jiĕ					
诚	言 	chéng					
誠	言 	chéng					
繼	糸 	jì					
继	糸 	jì					
湖	水 	hú					
欲	欠 	yù					
麻	麻 	má mā					
靠	非 	kào					
肉	肉 	ròu rù					
刻	刀 	kè					
紀	糸 	jì jĭ					
纪	糸 	jì jĭ					
退	辵 	tuì					
既	无 	jì xì					
含	口 	hán					
判	刀 	pàn					
釋	釆 	shì yì					
释	釆 	shì yì					
皮	皮 	pí					
波	水 	bō bēi bì					
承	手 	chéng zhĕng					
射	寸 	shè yì yè					
堆	土 	duī					
莫	艸 	mò mù					
製	衣 	zhì					
鍵	金 	jiàn					
键	金 	jiàn					
趕	走 	găn					
旁	方 	páng bàng					
笔	竹 	bĭ					
筆	竹 	bĭ					
扁	戶 	biăn piān biàn					
註	言 	zhù					
奏	大 	zòu					
樹	木 	shù					
树	木 	shù					
律	彳 	lܴ					
鐵	金 	tiĕ dié					
铁	金 	tiĕ					
荣	艸 	róng					
榮	木 	róng					
昨	日 	zuó					
毛	毛 	máo mào					
彩	彡 	căi					
歸	止 	guī kuì					
归	彐 	guī kuì					
虎	虍 	hŭ hù					
罪	网 	zuì					
皆	白 	jiē					
叶	口 	xié yè shè					
葉	艸 	xié yè yè shè					
售	口 	shòu					
弹	弓 	dàn tán					
彈	弓 	dàn tán					
卫	卩 	wèi					
衛	行 	wèi					
施	方 	shī shĭ yí yì					
銘	金 	míng					
铭	金 	míng					
刀	刀 	dāo					
塊	土 	kuài					
块	土 	kuài					
漢	水 	hàn tān					
汉	水 	yì hàn					
欣	欠 	xīn					
布	巾 	bù					
赏	貝 	shăng					
賞	貝 	shăng					
载	車 	zài zăi					
載	車 	zài zăi dài zāi zī					
險	阜 	xiăn yán jiăn					
险	阜 	xiăn yán					
播	手 	bò bŏ bō					
升	十 	shēng					
钟	金 	zhōng					
鐘	金 	zhōng					
寄	宀 	jì					
弄	廾 	nòng lòng lòng					
付	人 	fù					
構	木 	gòu					
囉	口 	luō lóu					
磁	石 	cí					
萤	艸 	yíng					
螢	虫 	yíng					
伟	人 	wĕi					
偉	人 	wĕi					
薦	艸 	jiàn					
洋	水 	yáng xiáng yăng					
嘿	口 	mò hēi					
啟	攴 	qĭ					
梅	木 	méi					
策	竹 	cè					
嘻	口 	xī					
燈	火 	dēng					
灯	火 	dēng					
鬼	鬼 	guĭ					
檢	木 	jiăn					
检	木 	jiăn					
宣	宀 	xuān					
哦	口 	é ó ò					
媽	女 	mā					
妈	女 	mā					
均	土 	jūn yùn					
派	水 	pài mài bài pā					
豬	豕 	zhū					
濟	水 	jì jĭ qí					
济	水 	jì jĭ					
架	木 	jià					
享	亠 	xiăng					
呆	口 	ái dāi					
训	言 	xùn					
訓	言 	xùn					
蓝	艸 	lán la					
藍	艸 	lán la					
劃	刀 	huà huá					
擔	手 	dān dàn					
担	手 	dàn dān dăn qiè					
努	力 	nŭ					
郭	邑 	guō guó					
歉	欠 	qiàn					
紙	糸 	zhĭ					
纸	糸 	zhĭ					
貼	貝 	tiē					
贴	貝 	tiē					
暗	日 	àn					
呼	口 	hū xū					
罷	网 	bà ba băi pí pì bĭ					
罢	网 	bà ba băi pí					
巧	工 	qiăo					
慧	心 	huì					
穿	穴 	chuān					
詳	言 	xiáng yáng					
详	言 	xiáng yáng					
雷	雨 	léi lèi					
协	十 	xié					
協	十 	xié					
督	目 	dū					
顧	頁 	gù					
顾	頁 	gù					
脸	肉 	liăn					
臉	肉 	liăn					
逢	辵 	féng páng péng					
岛	山 	dăo					
島	山 	dăo					
獎	犬 	jiăng					
游	水 	yóu liú					
批	手 	pī					
略	田 	lܥ4					
短	矢 	duăn					
幻	幺 	huàn					
沙	水 	shā shà suō					
散	攴 	sàn săn					
敌	攴 	dí					
敵	攴 	dí					
鄉	邑 	xiāng xiăng xiàng					
乡	乙 	xiāng xiăng xiàng					
冊	冂 	cè					
轮	車 	lún					
輪	車 	lún					
朝	月 	zhāo cháo zhū					
窗	穴 	chuāng cōng					
忍	心 	rĕn					
河	水 	hé					
藏	艸 	cáng zàng zāng					
衝	行 	chōng chòng					
冲	冫 	chōng					
混	水 	hŭn hùn hún gŭn kūn					
唯	口 	wéi wĕi					
乾	乙 	gān qián					
冠	冖 	guān guàn					
熟	火 	shóu shú					
鷹	鳥 	yīng					
鹰	鳥 	yīng					
蛋	虫 	dàn					
尊	寸 	zūn zūn					
棄	木 	qì					
弃	廾 	qì					
敬	攴 	jìng					
季	子 	jì					
婚	女 	hūn					
縣	糸 	xiàn xuán					
县	厶 	xiàn xuán					
緊	糸 	jĭn					
紧	糸 	jĭn					
伯	人 	bó băi bà					
申	田 	shēn					
衣	衣 	yī yì					
购	貝 	gòu					
購	貝 	gòu					
仅	人 	jĭn jìn					
僅	人 	jĭn jìn					
帐	巾 	zhàng					
帳	巾 	zhàng					
层	尸 	céng					
層	尸 	céng					
秋	禾 	qiū					
猜	犬 	cāi					
偏	人 	piān					
鏡	金 	jìng					
镜	金 	jìng					
食	食 	shí sì yì					
喝	口 	hē hè					
偷	人 	tōu					
贊	貝 	zàn					
赞	貝 	zàn					
犯	犬 	fàn					
勇	力 	yŏng					
颗	頁 	kē kĕ kuăn					
顆	頁 	kē kĕ kuăn					
姓	女 	xìng					
束	木 	shù					
淡	水 	dàn tán yăn yàn					
詩	言 	shī					
诗	言 	shī					
嘉	口 	jiā					
晓	日 	xiăo					
曉	日 	xiăo					
借	人 	jiè					
徒	彳 	tú					
洲	水 	zhōu					
擁	手 	yŏng yōng					
拥	手 	yŏng yōng					
序	广 	xù					
庆	广 	qìng					
慶	心 	qìng					
绩	糸 	jī					
績	糸 	jī					
祝	示 	zhù zhòu chù					
狮	犬 	shī					
獅	犬 	shī					
圍	囗 	wéi					
围	囗 	wéi					
餘	食 	yú yé					
私	禾 	sī					
鬥	鬥 	dòu					
柔	木 	róu					
漂	水 	piāo piăo piào biāo					
富	宀 	fù					
秀	禾 	xiù					
範	竹 	fàn					
避	辵 	bì					
辉	車 	huī					
輝	車 	huī					
譯	言 	yì					
译	言 	yì					
孤	子 	gū					
笨	竹 	bèn					
括	手 	guā kuò					
吸	口 	xī					
端	立 	duān					
移	禾 	yí chĭ yì					
厅	厂 	tīng					
廳	广 	tīng					
蓋	艸 	gài gĕ hé					
盖	皿 	gài gĕ hé					
末	木 	mò					
察	宀 	chá					
抗	手 	kàng káng					
揮	手 	huī					
挥	手 	huī					
乖	丿 	guāi					
積	禾 	jī					
积	禾 	jī					
插	手 	chā					
驚	馬 	jīng					
蔡	艸 	cài sà cā					
忠	心 	zhōng					
愈	心 	yù					
雪	雨 	xuĕ					
巨	工 	jù					
硕	石 	shuò shí					
碩	石 	shuò shí					
瑞	玉 	ruì					
凡	几 	fán					
朱	木 	zhū shú					
籃	竹 	lán					
篮	竹 	lán					
丟	一 	diū					
丢	一 	diū					
盘	皿 	pán					
盤	皿 	pán xuán					
偶	人 	ŏu					
港	水 	găng hòng					
宮	宀 	gōng					
帥	巾 	shuài shuài shuò					
帅	巾 	shuài shuài shuò					
宏	宀 	hóng					
雅	隹 	yă yā yá					
貨	貝 	huò					
货	貝 	huò					
醒	酉 	xĭng xīng chéng jīng					
虛	虍 	xū					
遺	辵 	yí wèi suí					
遗	辵 	yí wèi					
掛	手 	guà					
透	辵 	tòu shū					
爆	火 	bào bó					
烈	火 	liè					
灭	火 	miè					
滅	水 	miè					
材	木 	cái					
拍	手 	pāi bó pò					
休	人 	xiū					
誌	言 	zhì					
圓	囗 	yuán					
圆	囗 	yuán					
銀	金 	yín					
银	金 	yín					
互	二 	hù					
飯	食 	fàn					
饭	食 	fàn					
掌	手 	zhăng					
豪	豕 	háo					
替	曰 	tì					
挑	手 	tiāo tiăo tāo					
頂	頁 	dĭng					
顶	頁 	dĭng					
熊	火 	xióng					
累	糸 	lèi lĕi léi lܬiè					
址	土 	zhĭ					
健	人 	jiàn					
侠	人 	xiá					
俠	人 	xiá					
雞	隹 	jī					
困	囗 	kùn					
诺	言 	nuò					
諾	言 	nuò					
辅	車 	fŭ					
輔	車 	fŭ					
伴	人 	bàn pàn					
玉	玉 	yù					
洗	水 	xĭ xiăn					
敏	攴 	mĭn					
临	丨 	lín lìn					
臨	臣 	lín lìn					
街	行 	jiē					
降	阜 	jiàng xiáng xiàng					
唸	口 	niàn					
憐	心 	lián					
蘇	艸 	sū sù					
苏	艸 	sū					
米	米 	mĭ					
減	水 	jiăn					
操	手 	cāo cào					
疯	疒 	fēng					
瘋	疒 	fēng					
辛	辛 	xīn					
宇	宀 	yŭ					
聚	耳 	jù					
兮	八 	xī					
彼	彳 	bĭ					
採	手 	căi					
屆	尸 	jiè					
尼	尸 	ní					
輩	車 	bèi					
辈	車 	bèi					
药	艸 	yào yuè					
藥	艸 	yào yuè shuò lܥ4					
騙	馬 	piàn					
骗	馬 	piàn					
綠	糸 	lܬù					
童	立 	tóng zhōng					
缩	糸 	suō sù					
縮	糸 	suō sù					
符	竹 	fú					
获	艸 	huò					
獲	犬 	huò					
默	黑 	mò					
郎	邑 	láng làng					
碰	石 	pèng					
禁	示 	jìn jīn					
婆	女 	pó					
咧	口 	liĕ lie					
股	肉 	gŭ					
抽	手 	chōu					
砍	石 	kăn					
恨	心 	hèn					
肯	肉 	kĕn					
刊	刀 	kān					
泡	水 	pào páo pāo					
渐	水 	jiàn jiān chán qián					
漸	水 	jiàn chán jiān qián					
钢	金 	gāng gàng					
鋼	金 	gāng gàng					
廢	广 	fèi					
废	广 	fèi					
淚	水 	lèi lì					
枢	木 	shū					
樞	木 	shū					
贏	貝 	yíng					
赢	貝 	yíng					
欧	欠 	ōu ŏu					
歐	欠 	ōu ŏu					
財	貝 	cái					
财	貝 	cái					
訂	言 	dìng					
订	言 	dìng					
途	辵 	tú					
觸	角 	chù					
賢	貝 	xián					
贤	貝 	xián					
傑	人 	jié					
脫	肉 	tuō tuì					
箱	竹 	xiāng					
佈	人 	bù					
仙	人 	xiān					
冰	冫 	bīng níng					
析	木 	xī					
蒼	艸 	cāng căng					
苍	艸 	cāng căng					
厭	厂 	yàn yā yān					
厌	厂 	yàn yā yān					
籍	竹 	jí jiè					
堅	土 	jiān					
坚	土 	jiān					
哭	口 	kū					
夏	夊 	xià jiă					
懒	心 	lăn					
懶	心 	lăn					
桥	木 	qiáo					
橋	木 	qiáo					
稳	禾 	wĕn					
穩	禾 	wĕn					
露	雨 	lù lòu					
询	言 	xún					
詢	言 	xún					
森	木 	sēn					
丝	一 	sī					
絲	糸 	sī					
尘	小 	chén					
塵	土 	chén					
慣	心 	guàn					
惯	心 	guàn					
涛	水 	tāo táo					
濤	水 	tāo táo cháo shòu dào					
谊	言 	yí yì					
誼	言 	yí yì					
佔	人 	zhàn					
茶	艸 	chá					
赖	貝 	lài					
賴	貝 	lài					
階	阜 	jiē					
阶	阜 	jiē					
豐	豆 	fēng					
贝	貝 	bèi					
貝	貝 	bèi					
暑	日 	shŭ					
郵	邑 	yóu chuí					
邮	邑 	yóu					
危	卩 	wēi wéi					
寒	宀 	hán					
械	木 	jiè xiè					
隐	阜 	yĭn yìn					
隱	阜 	yĭn yìn					
爸	父 	bà					
汽	水 	qì gāi yĭ					
惨	心 	căn					
慘	心 	căn					
旅	方 	lܳ					
村	木 	cūn					
予	亅 	yú yŭ					
振	手 	zhèn zhēn zhĕn					
亡	亠 	wáng wú					
瓶	瓦 	píng					
遭	辵 	zāo					
哲	口 	zhé					
零	雨 	líng lián					
納	糸 	nà					
纳	糸 	nà					
珍	玉 	zhēn					
乃	丿 	năi					
席	巾 	xí					
哩	口 	lī li lĭ					
鄭	邑 	zhèng					
郑	邑 	zhèng					
吹	口 	chuī chuì					
骨	骨 	gŭ gū gú					
煙	火 	yān					
胡	肉 	hú					
伦	人 	lún					
倫	人 	lún					
洪	水 	hóng					
搖	手 	yáo					
娘	女 	niáng					
芳	艸 	fāng					
索	糸 	suŏ					
峰	山 	fēng					
织	糸 	zhī zhì					
織	糸 	zhī zhì					
惠	心 	huì					
杯	木 	bēi					
浮	水 	fú					
狼	犬 	láng làng lăng hăng					
隔	阜 	gé rŏng jī					
椰	木 	yé yē					
租	禾 	zū jū					
尾	尸 	wĕi yĭ					
忽	心 	hū					
複	衣 	fù					
莊	艸 	zhuāng					
款	欠 	kuăn xīn					
菜	艸 	cài					
副	刀 	fù					
企	人 	qĭ					
折	手 	zhé shé zhē					
擾	手 	răo róu					
揚	手 	yáng					
扬	手 	yáng					
鼠	鼠 	shŭ					
冒	冂 	mòu mò					
癡	疒 	chī					
鼓	鼓 	gŭ					
刺	刀 	cì qì					
频	頁 	pín bīn					
頻	頁 	pín bīn					
喵	口 	miāo					
针	金 	zhēn					
針	金 	zhēn					
霸	雨 	bà pò					
暂	日 	zàn					
暫	日 	zàn					
伊	人 	yī					
沉	水 	chén					
嘴	口 	zuĭ					
庫	广 	kù					
库	广 	kù					
悔	心 	huĭ					
陰	阜 	yīn yìn ān					
阴	阜 	yīn yìn ān					
寂	宀 	jì					
倚	人 	yĭ					
探	手 	tàn tān					
祖	示 	zŭ jiē					
摩	手 	mó mā					
距	足 	jù					
剩	刀 	shèng					
遍	辵 	biàn					
蟲	虫 	chóng					
燒	火 	shāo shào					
烧	火 	shāo shap4					
頁	頁 	yè xié					
页	頁 	yè					
隆	阜 	lóng lōng					
弱	弓 	ruò					
豆	豆 	dòu					
延	廴 	yán					
蕭	艸 	xiāo					
萧	艸 	xiāo					
握	手 	wò					
寧	宀 	zhù níng nìng níng					
昭	日 	zhāo					
盟	皿 	méng míng mèng					
覆	襾 	fù					
憲	心 	xiàn					
宪	宀 	xiàn					
秘	禾 	mì bì bié					
耐	而 	nài néng					
愁	心 	chóu					
丁	一 	dīng zhēng					
拨	手 	bō fá					
撥	手 	bō fá					
沈	水 	chén shĕn tán					
昇	日 	shēng					
髮	髟 	fă fà					
哀	口 	āi					
龟	龜 	guī jūn qiū					
龜	龜 	guī jūn qiū					
眉	目 	méi					
固	囗 	gù					
卷	卩 	juàn quán					
顏	頁 	yán yá					
閒	門 	xián jiān jiàn					
稍	禾 	shāo shào					
残	歹 	cán					
殘	歹 	cán					
搭	手 	dā tà					
京	亠 	jīng					
傻	人 	shă					
耳	耳 	ĕr réng					
映	日 	yìng					
託	言 	tuō					
恩	心 	ēn					
鴻	鳥 	hóng hòng					
鸿	鳥 	hóng					
妙	女 	miào					
辩	辛 	biàn pián					
辯	辛 	biàn pián biăn bàn					
媒	女 	méi					
吵	口 	chăo					
擬	手 	nĭ					
拟	手 	nĭ					
違	辵 	wéi huí					
违	辵 	wéi					
憂	心 	yōu					
忧	心 	yōu					
桌	木 	zhuō					
拼	手 	pīn					
銷	金 	xiāo					
销	金 	xiāo					
藉	艸 	jiè jí					
胖	肉 	pàng pán pàn					
屋	尸 	wū					
域	土 	yù					
船	舟 	chuán					
劳	力 	láo lào					
勞	力 	láo lào					
洞	水 	dòng tóng					
寝	宀 	qĭn					
寢	宀 	qĭn					
井	二 	jĭng					
徐	彳 	xú					
川	巛 	chuān					
奈	大 	nài					
戶	戶 	hù					
乘	丿 	chéng shèng					
额	頁 	é					
額	頁 	é					
倍	人 	bèi					
農	辰 	nóng					
农	冖 	nóng					
摆	手 	băi					
擺	手 	băi					
塞	土 	sāi sè sài					
橫	木 	héng hèng					
賀	貝 	hè					
贺	貝 	hè					
皇	白 	huáng wăng					
拖	手 	tuō					
怨	心 	yuàn					
牙	牙 	yá yà					
齊	齊 	qí jī jì jiăn zhāi zī					
齐	齊 	qí jī jì jiăn zhāi zī					
逃	辵 	táo					
障	阜 	zhàng zhāng					
賺	貝 	zhuàn zuàn					
赚	貝 	zhuàn					
滾	水 	gŭn					
干	干 	gān gàn hán					
譜	言 	pŭ					
谱	言 	pŭ					
烏	火 	wū wù					
乌	丿 	wū wù					
瞭	目 	liăo liào yăo					
戴	戈 	dài					
搬	手 	bān					
松	木 	sōng					
鬆	髟 	sōng					
瓜	瓜 	guā					
迫	辵 	pò păi					
吓	口 	xià hè					
嚇	口 	xià hè					
奶	女 	năi					
棋	木 	qí jī					
鬧	鬥 	nào					
闹	門 	nào					
盛	皿 	shèng chéng					
摸	手 	mō mó					
尺	尸 	chĭ chĕ					
伙	人 	huŏ huo					
染	木 	răn					
佩	人 	pèi					
床	广 	chuáng					
酷	酉 	kù					
孫	子 	sūn xùn					
孙	子 	sūn xùn					
牠	牛 	tuō tā					
屁	尸 	pì					
醉	酉 	zuì					
震	雨 	zhèn shēn					
锁	金 	suŏ					
鎖	金 	suŏ					
凯	几 	kăi					
凱	几 	kăi					
损	手 	sŭn					
損	手 	sŭn					
潮	水 	cháo					
役	彳 	yì					
泰	水 	tài					
伍	人 	wŭ					
冬	冫 	dōng					
桃	木 	táo					
聪	耳 	cōng					
聰	耳 	cōng					
乙	乙 	yĭ					
迴	辵 	huí					
競	立 	jìng					
竞	立 	jìng					
崇	山 	chóng					
撞	手 	zhuàng chuáng					
厲	厂 	lì					
厉	厂 	lì					
淨	水 	jìng					
牵	牛 	qiān qiàn					
牽	牛 	qiān qiàn					
羊	羊 	yáng					
惑	心 	huò					
溪	水 	xī qī					
帽	巾 	mào					
眠	目 	mián miăn mĭn					
巷	己 	xiàng hàng					
沟	水 	gōu					
溝	水 	gōu găng kòu					
俗	人 	sú					
宋	宀 	sòng					
飘	風 	piāo					
飄	風 	piāo					
淺	水 	qiăn jiān jiàn cán zàn					
浅	水 	qiăn					
獻	犬 	xiàn suō xī					
献	犬 	xiàn					
麵	麥 	miàn					
舰	舟 	jiàn					
艦	舟 	jiàn					
滑	水 	huá gŭ					
榜	木 	băng bàng bēng páng					
圈	囗 	quān juàn					
庭	广 	tíng tìng					
縱	糸 	zòng zŏng sŏng cóng					
纵	糸 	zòng zŏng sŏng					
闪	門 	shăn					
閃	門 	shăn					
蓮	艸 	lián liăn					
莲	艸 	lián					
麥	麥 	38108					
麦	麥 	38108					
邦	邑 	bāng					
耀	羽 	yào					
旋	方 	xuán xuàn					
閱	門 	yuè					
諒	言 	liàng liáng					
谅	言 	liàng liáng					
紫	糸 	zĭ					
摄	手 	shè niè					
攝	手 	shè niè					
儀	人 	yí					
仪	人 	yí					
妨	女 	fáng fāng					
審	宀 	shĕn					
审	宀 	shĕn					
描	手 	miáo					
洽	水 	qià hé xiá					
毀	殳 	huĭ huì					
逐	辵 	zhú dí zhòu tún					
陪	阜 	péi					
填	土 	tián					
踏	足 	tà tā					
跌	足 	diē dié tú					
藤	艸 	téng					
慕	心 	mù					
勒	力 	lè lēi					
闆	門 	băn					
殊	歹 	shū					
姊	女 	zĭ					
憑	心 	píng					
凭	几 	píng					
寞	宀 	mò					
岸	山 	àn					
芬	艸 	fēn fén					
鎮	金 	zhèn zhēn tián					
镇	金 	zhèn					
池	水 	chí tuó chè					
拒	手 	jù jŭ					
葛	艸 	gĕ gé					
州	巛 	zhōu					
锋	金 	fēng					
鋒	金 	fēng					
宽	宀 	kuān					
寬	宀 	kuān					
拳	手 	quán					
于	二 	yú xū					
函	凵 	hán					
驅	馬 	qū					
驱	馬 	qū					
后	口 	hòu					
裁	衣 	cái					
蟹	虫 	xiè					
阻	阜 	zŭ zhù					
邪	邑 	xié xú yá yé yú shé					
革	革 	gé jí jĭ					
颇	頁 	pŏ pō					
頗	頁 	pŏ pō pò pí					
臥	臣 	wò					
昌	日 	chāng					
孟	子 	mèng					
航	舟 	háng					
遙	辵 	yáo					
翔	羽 	xiáng					
蠍	虫 	xiē					
恭	心 	gōng					
奧	大 	ào yù					
斋	文 	zhāi					
齋	齊 	zhāi					
睛	目 	jīng jĭng					
槍	木 	qiāng chēng					
枪	木 	qiāng chēng					
塔	土 	tă					
閉	門 	bì					
闭	門 	bì					
頓	頁 	dùn dú zhūn					
顿	頁 	dùn dú zhūn					
糊	米 	hú hū hù					
仰	人 	yăng yàng áng					
旗	方 	qí					
励	力 	lì					
勵	力 	lì					
厚	厂 	hòu					
魂	鬼 	hún					
准	冫 	zhŭn					
丸	丶 	wán					
宙	宀 	zhòu					
逸	辵 	yì					
裕	衣 	yù					
舒	舌 	shū yù					
访	言 	făng					
訪	言 	făng					
兼	八 	jiān					
薩	艸 	sà					
萨	艸 	sà					
饮	食 	yĭn yìn					
飲	食 	yĭn yìn					
赤	赤 	chì					
閣	門 	gé					
阁	門 	gé					
庸	广 	yōng yóng					
啪	口 	pā					
搶	手 	qiăng qiāng chēng					
抢	手 	qiăng qiāng chēng					
勿	勹 	wù					
砂	石 	shā					
绪	糸 	xù					
緒	糸 	xù					
丌	一 	jī					
穹	穴 	qiōng qiōng kōng qióng					
儘	人 	jĭn					
掃	手 	săo sào					
扫	手 	săo sào					
慈	心 	cí					
栏	木 	lán liàn					
欄	木 	lán liàn					
嘗	口 	cháng					
尝	小 	cháng					
劝	力 	quàn					
勸	力 	quàn					
鲜	魚 	xiān xiăn xiàn					
鮮	魚 	xiān xiăn xiàn					
奮	大 	fèn					
奋	大 	fèn					
赐	貝 	sì cì					
賜	貝 	sì cì					
菩	艸 	pú bèi bù bó					
喊	口 	hăn					
闡	門 	chăn					
阐	門 	chăn					
幽	幺 	yōu					
擴	手 	kuò					
扩	手 	kuò					
污	水 	wū wù wā yū					
彰	彡 	zhāng					
毫	毛 	háo					
祥	示 	xiáng					
盜	皿 	dào					
証	言 	zhèng					
罰	网 	fá					
罚	网 	fá					
番	田 	fān pān bō pó fán pán pí					
尖	小 	jiān					
灰	火 	huī					
狐	犬 	hú					
衡	行 	héng					
擎	手 	qíng					
汪	水 	wāng wăng hóng					
監	皿 	jiān jiàn kàn					
监	皿 	jiān jiàn					
筹	竹 	chóu					
籌	竹 	chóu táo					
迟	辵 	chí zhí					
遲	辵 	chí zhì xī zhí					
誇	言 	kuā					
邱	邑 	qiū					
稅	禾 	shuì tuàn tuì tuō					
浩	水 	hào gé găo					
拆	手 	chāi cā chè					
纷	糸 	fēn					
紛	糸 	fēn					
吾	口 	wú					
托	手 	tuō					
姑	女 	gū					
咱	口 	zán zá					
漏	水 	lòu lóu					
诞	言 	dàn					
誕	言 	dàn					
淑	水 	shú shū chù					
鬱	鬯 	yù					
砲	石 	pào					
柏	木 	bó băi bò					
牆	爿 	qiáng					
窝	穴 	wō					
窩	穴 	wō					
倾	人 	qīng					
傾	人 	qīng					
辭	辛 	cí					
辞	辛 	cí					
秒	禾 	miăo					
羽	羽 	yŭ hù					
渡	水 	dù					
沖	水 	chōng					
廖	广 	liào					
輛	車 	liàng					
辆	車 	liàng					
龄	齒 	líng					
齡	齒 	líng					
培	土 	péi pŏu					
邀	辵 	yāo					
甘	甘 	gān					
袋	衣 	dài					
杜	木 	dù					
酸	酉 	suān					
胸	肉 	xiōng					
逻	辵 	luó luò					
邏	辵 	luó luò					
豈	豆 	qĭ kăi					
岂	山 	qĭ kăi					
涼	水 	liáng liàng					
肥	肉 	féi bĭ					
谷	谷 	gŭ yù lù					
兽	八 	shòu					
獸	犬 	shòu					
娃	女 	wá					
孔	子 	kŏng					
陷	阜 	xiàn					
估	人 	gū gŭ gù					
妻	女 	qī qì					
径	彳 	jìng					
徑	彳 	jìng					
玫	玉 	méi					
潜	水 	qián					
潛	水 	qián					
晶	日 	jīng					
胞	肉 	bāo páo pào					
煞	火 	shà shā					
脆	肉 	cuì					
抹	手 	mŏ mā mò					
犹	犬 	yóu					
猶	犬 	yóu yáo					
築	竹 	zhú zhù					
呂	口 	lyŭ					
碎	石 	suì					
噴	口 	pēn pèn					
喷	口 	pēn pèn					
截	戈 	jié					
旦	日 	dàn					
妇	女 	fù					
婦	女 	fù					
垃	土 	lā la					
荒	艸 	huāng huăng kāng					
幣	巾 	bì					
币	巾 	bì					
圾	土 	jí jī					
串	丨 	chuàn guàn					
壯	士 	zhuàng					
壮	士 	zhuàng					
伸	人 	shēn					
傲	人 	ào					
弦	弓 	xián					
泥	水 	ní nì nĭ niè nìng					
繁	糸 	fán pó pán					
魯	魚 	lŭ lܳ					
鲁	魚 	lŭ					
忌	心 	jì					
億	人 	yì					
亿	人 	yì					
叭	口 	bā ba					
坦	土 	tăn					
恥	心 	chĭ					
蜜	虫 	mì					
欺	欠 	qī					
舍	舌 	shè shĕ shì					
捨	手 	shĕ					
怡	心 	yí					
玲	玉 	líng					
臭	自 	chòu xiù					
唐	口 	táng					
湯	水 	tāng tàng shāng yáng					
汤	水 	tāng tàng shāng yáng					
窮	穴 	qióng					
穷	穴 	qióng					
悉	心 	xī					
勁	力 	jìng jìn					
劲	力 	jìng jìn					
拔	手 	bá bèi					
甜	甘 	tián					
蒙	艸 	méng mēng mĕng máng					
逛	辵 	guàng kuáng					
朵	木 	duŏ					
摘	手 	zhāi zhé					
胆	肉 	dăn tán tăn dá					
膽	肉 	dăn					
糟	米 	zāo					
腿	肉 	tuĭ					
喇	口 	lă					
醜	酉 	chŏu					
躍	足 	yuè tì					
跃	足 	yuè					
缴	糸 	jiăo zhuó					
繳	糸 	jiăo zhuó jiào hé					
泉	水 	quán					
澤	水 	zé duó shì yì					
泽	水 	zé duó shì yì					
碧	石 	bì					
鞋	革 	xié wā					
韓	韋 	hán					
韩	韋 	hán					
彥	彡 	yàn					
晨	日 	chén					
莉	艸 	lì lí chí					
駕	馬 	jià jiā					
驾	馬 	jià					
猛	犬 	mĕng					
缓	糸 	huăn					
緩	糸 	huăn					
坡	土 	pō					
炸	火 	zhà zhá					
怒	心 	nù					
召	口 	zhào shào					
捕	手 	bŭ					
幼	幺 	yòu yào					
艾	艸 	ài yì					
恆	心 	héng					
割	刀 	gē					
扯	手 	chĕ					
盾	目 	dùn shŭn yŭn					
么	丿 	yāo mo me ma mŏ					
吐	口 	tŭ tù					
昏	日 	hūn mĭn					
辨	辛 	biàn bān bàn biăn piàn					
轩	車 	xuān					
軒	車 	xuān xiăn xiàn hăn jiān					
巫	工 	wū wú					
丹	丶 	dān					
鑑	金 	jiàn					
彎	弓 	wān					
弯	弓 	wān					
赋	貝 	fù					
賦	貝 	fù					
坪	土 	píng					
侵	人 	qīn					
胎	肉 	tāi					
悠	心 	yōu					
薪	艸 	xīn					
刪	刀 	shān					
彬	彡 	bīn					
悟	心 	wù					
珠	玉 	zhū					
勤	力 	qín					
瑰	玉 	guī					
植	木 	zhí					
痴	疒 	chī					
礙	石 	ài					
碍	石 	ài					
敝	攴 	bì					
盃	皿 	bēi					
盼	目 	pàn fén					
亨	亠 	hēng xiăng pēng					
逝	辵 	shì					
剪	刀 	jiăn					
磨	石 	mó mò					
逼	辵 	bī					
濃	水 	nóng					
浓	水 	nóng					
洛	水 	luò					
乏	丿 	fá					
挡	手 	dăng dàng tăng					
擋	手 	dăng dàng tăng					
姆	女 	mŭ					
嫌	女 	xián					
躲	身 	duŏ					
壁	土 	bì					
釣	金 	diào					
钓	金 	diào					
暖	日 	nuăn xuān					
憾	心 	hàn					
逊	辵 	xùn					
遜	辵 	xùn					
愉	心 	yú tōu					
曰	曰 	yuē					
采	釆 	căi cài					
捷	手 	jié qiè					
叹	口 	tàn					
嘆	口 	tàn					
玄	玄 	xuán xuàn					
滴	水 	dī					
扣	手 	kòu					
抵	手 	dĭ					
奔	大 	bēn bèn					
翁	羽 	wēng wĕng					
蹟	足 	jī					
菲	艸 	fēi fĕi fèi					
爬	爪 	pá					
棚	木 	péng					
夕	夕 	xī xì					
惱	心 	năo					
恼	心 	năo					
戒	戈 	jiè					
牲	牛 	shēng					
泳	水 	yŏng					
恰	心 	qià					
滄	水 	cāng					
沧	水 	cāng					
桑	木 	sāng					
蔣	艸 	jiăng jiāng					
